date,id,status,category,submarket,asset,parties,what,size,angle,src
2026-07-01,1-2-msf-spec-building-alliancetexas,New,Industrial,Alliance,"1.2 MSF spec building, AllianceTexas",Hillwood (developer),"Broke ground on a 1,214,969 SF Class A spec building built for autonomous-vehicle logistics use.","1,214,969 SF; delivery July 2027",Expands Hillwood's Alliance pipeline to 8.2 MSF; sets the shallow/deep-bay rent comp for North Fort Worth.,[1]
2026-07-01,81-718-sf-building-3601-conway-st,New,Industrial,Fort Worth,"81,718 SF building, 3601 Conway St.",Leon Capital Group (buyer); Corbell family (sellers); Stream Realty (both sides),"Leon Capital acquired an 81,718 SF industrial building from private sellers.","81,718 SF; price undisclosed",Dual-agency trade confirms active private-seller inventory; a comp for similar tiltwall outreach.,[2]
2026-07-01,three-property-ios-portfolio-1-in-tulsa,New,IOS,Duncanville / Blue Mound,Three-property IOS portfolio (+1 in Tulsa),Zenith IOS (buyer); Newmark (broker),"Zenith acquired ~22.4 combined DFW acres and 78,300 SF of yard and tiltwall improvements.",~22.4 acres; price undisclosed,Confirms institutional appetite for small-footprint IOS from private sellers; a live comp set.,[3]
2026-07-01,industrial-lease-566-n-beach-st,New,Industrial,Fort Worth,"Industrial lease, 566 N. Beach St.",Tenant unconfirmed; Lee & Associates DFW,"Lee & Associates DFW negotiated a 35,000 SF industrial lease.","35,000 SF",Small-bay leasing holds up even as headline vacancy sits near a 2026 high.,[4]
2026-07-01,red-oak-data-center-campus,New,Data Center,Red Oak,Red Oak data center campus,DataBank (borrower); Citizens Bank N.A. (lead),"Closed $1.45B in financing ($800M revolver + $650M construction upsize), funding a 4th building.",$2.65B total campus financing; +60 MW,Confirms lender conviction in DFW data-center debt; a proceeds benchmark for Ellis County land.,[5]
2026-07-01,black-mountain-power-data-center-campus,New,Data Center,Kennedale,Black Mountain Power data center campus,Black Mountain Power/Energy LLC,450+ acres rezoned agricultural to light industrial for a ~$10B campus; June 23 site-plan vote outcome unconfirmed.,450+ acres; ~$10B proposed value,Would reset the land-value ceiling for ag-to-industrial conversion in southeast Tarrant County.,"[6,7]"
2026-07-01,6001-campus-circle-dr-w-flex-to-data-center,New,Data Center,Las Colinas,6001 Campus Circle Dr. W. (flex-to-data-center),Infrascale Systems / Vesgro; PACE Loan Group,"Closed $11.6M C-PACE financing to convert a 1981-built, 113,406 SF flex building (8.5 MW allocation) into a 3 MW colo facility.","113,406 SF; $11.6M financing; complete Sept. 2026",A repeatable thesis: power-rich older flex buildings repriced upward via colocation conversion.,[8]
2026-07-01,camp-howze-industrial-rail-park,New,Land,"Gainesville (noted, not mapped)",Camp Howze Industrial Rail Park,BNSF Railway; Stream Realty Partners,"Groundbreaking on a rail spur serving a 489-acre, up to 7 MSF park; rail service targeted Q2 2027.",489 acres; up to 7 MSF,Outer-ring rail-served land bank; a longer-dated watch item for users priced out of core submarkets.,[9]
2026-07-01,mckinney-air-business-park,New,Land,McKinney,McKinney Air Business Park,CapRock Partners; Colliers (leasing),"Broke ground on a two-building, 250,000 SF shallow-bay project on a 15.3-acre site near Spur 399.","250,000 SF; 15.3 acres; complete Q1 2027",Reinforces the McKinney and US-380 corridor as an emerging shallow-bay node.,[10]
2026-07-01,batch-zero-large-load-interconnection-process,New,Infrastructure,Statewide,Batch Zero large-load interconnection process,ERCOT; PUCT,"PUCT approved group review of 75 MW+ interconnection requests; queue is ~438,000 MW, ~89% data centers.","438,000 MW queue; classification expected Aug. 2026",Directly paces DFW power-intensive land moving from entitlement to energized; track classification dates.,"[11,12]"
2026-07-01,data-center-cost-allocation-guardrails,New,Public Incentives,Statewide,Data center cost-allocation guardrails,Gov. Greg Abbott; PUCT; ERCOT,"Directive requires data centers to fund their own grid infrastructure; PUC/ERCOT proposal due July 17, 2026.","Deadline: July 17, 2026",A cost shift onto developers could raise all-in DFW data-center development costs.,[13]
2026-07-01,celestica-manufacturing-campus,New,Major Employer,Richardson,Celestica manufacturing campus,Celestica,"Renewed and expanded to ~1 MSF through 2036, with ~$300M in planned TI and equipment spend.","~1 MSF; $300M capex; ~2,300 new jobs",A data-center hardware supply-chain tenant expanding in place; a strong renewal comp for the corridor.,[14]
2026-07-01,proposed-709-000-sf-office-tower-2401-mckinney-a,New,Office,Uptown Dallas,"Proposed 709,000 SF office tower, 2401 McKinney Ave.",Morgan Stanley; City of Dallas,"Weighing Dallas vs. Alpharetta, GA for a new hub; Council approved an $18.5M incentive; tower not yet signed.","$1.3B+ project; up to 4,800 jobs",DFW's largest single-tenant office prospect in years if it closes; watch the interim Fountain Place lease.,"[15,16]"
2026-07-01,tollway-plaza-15950-16000-dallas-pkwy,New,Office,North Dallas,"Tollway Plaza, 15950/16000 Dallas Pkwy.",Tourmaline Capital Partners (buyer); Buchanan Street Partners (seller); Apollo Global (lender),"Acquired the 376,259 SF office campus with an $80.3M Apollo-arranged loan.","376,259 SF; $80.3M loan",Private credit still underwriting North Dallas office at a basis discount to replacement cost.,[17]
2026-07-01,interlace-palace-and-chaparral-apartments-816-un,New,Multifamily,Dallas / Arlington / Fort Worth,"Interlace, Palace, and Chaparral Apartments (816 units)",Nitya Capital (owner); One William Street Capital (lender),"Paid $1M to push a foreclosure auction to June 30, 2026; outcome of that deadline is unconfirmed.",$70.3M combined loan balance,A live distress signal in workforce housing; track for a note sale or deed-in-lieu process.,[18]
2026-07-01,20-acre-land-option-former-valley-view-mall,New,Sports / Entertainment,North Dallas,"20-acre land option, former Valley View Mall",Dallas Mavericks; Seritage Growth Properties,"SEC filing shows a $50.76M option; monthly payments of $126,900 begin today, July 1, 2026.",$50.76M option value,A rare public window into land-option economics for a big-box mall redevelopment site.,[19]
2026-07-02,celestica-manufacturing-campus,Update,Industrial,Richardson,Telecom Parkway campus,Celestica; City of Richardson,"Lease renewal plus new 343,000 SF building; $300M capex; ~2,300 jobs; $3M city TI grant.",343K SF new; ~1M SF total.,Comp for power-heavy manufacturing incentive packages along the corridor.,"[1,2,3]"
2026-07-02,566-n-beach-st-lease,New,Industrial,Fort Worth,566 N Beach St,Tenant unconfirmed; Lee & Associates DFW,"35,000 SF industrial lease closed June 19.","35,000 SF.",Small-bay Fort Worth comp; tenant-rep potential.,[14]
2026-07-02,alliance-gateway-34-mach,New,Industrial,Alliance,Alliance Gateway 34,Mach Industries; Hillwood; City of Fort Worth,"Council weighing $4.5M incentive; August 10 vote; $74M investment, 1,000-plus jobs.","310,036 SF.",Pending absorption; a fresh incentive-per-job comp if approved.,"[19,20,21]"
2026-07-02,alliance-westport-16-spec,New,Industrial,Alliance,Alliance Westport 16 plus two spec buildings,Hillwood,"1,214,969 SF spec building announced; AllianceTexas pipeline now ~8.2M SF.",1.21M SF; delivery July 2027.,Major new supply; large-bay leasing opportunity and rent-comp watch.,"[22,23]"
2026-07-02,three-property-ios-portfolio-1-in-tulsa,Update,IOS,Duncanville / Blue Mound,Three-property IOS portfolio,Zenith IOS (buyer); Newmark (broker),"Acquired five-building, roughly 30-acre portfolio; 105K-plus SF; price undisclosed.",~30 acres.,Active IOS buyer; owner outreach candidate on comparable sites.,[16]
2026-07-02,red-oak-data-center-campus,Update,Data Center,Red Oak,DataBank campus (DFW9 to DFW11),DataBank; Oracle; MUFG; Citizens Bank N.A.,"Closed $1.45B financing following the $2.0B April construction loan; 180 MW live, up to 480 MW planned.",292 to 300 acres.,Capital-conviction signal for power-heavy land in southern Dallas County.,"[4,5,6]"
2026-07-02,celestica-alliancetexas-mfg,New,Data Center,Alliance,Celestica equipment-manufacturing campus,Celestica; Hillwood,Data-center-equipment manufacturing commitment; investment figure disputed between sources.,"1M-plus SF; ~1,700 jobs.",Supply-chain-adjacent demand driver for AllianceTexas land and big-box.,"[18,45]"
2026-07-02,black-mountain-power-data-center,New,Land,Kennedale,Black Mountain Power site,Black Mountain Power; City of Fort Worth,450-plus acres rezoned for a proposed $10B campus; an additional 80-acre vote remains pending.,450-plus acres.,Large entitlement with reuse optionality if campus scope shifts.,"[25,26]"
2026-07-02,5051-south-freeway-zc-25-208,New,Municipal / Zoning,Fort Worth,5051 South Freeway,Series C LLC / Diamond Creek Investments,"Council approved ZC-25-208 April 28, unifying Light Industrial zoning.",8.47 acres.,Entitlement-precedes-disposition signal; outreach candidate.,[24]
2026-07-02,camp-howze-industrial-rail-park,Update,Land,"Gainesville (noted, not mapped)",Camp Howze Industrial Rail Park,Stream Realty; Hughes Commercial; B-29 Investments; BNSF,Groundbreaking June 18; dedicated BNSF connection targeted in service by Q2 2027.,489 acres; up to 7M SF.,Emerging rail-served node north of core DFW; longer-dated watch item.,[27]
2026-07-02,2401-mckinney-morgan-stanley,New,Major Employer,Uptown Dallas,2401 McKinney Ave tower,Morgan Stanley; Trammell Crow Co.; City of Dallas,Council approved $18.5M incentive June 24; construction projected fall 2026.,708 to 709K SF; $1.3B.,Catalyst for further Uptown investment; watch adjacent site interest.,"[7,8,9]"
2026-07-02,victory-commons-one,New,Office,Uptown Dallas,Victory Commons One,Hillwood Urban; Affinius Capital; JLL,"JLL hired to explore a sale, refinance, recapitalization, or new equity partner.","364,428 SF; 93% leased.",Trophy disposition candidate; a live Uptown pricing comp when it clears.,"[28,29]"
2026-07-02,2626-mckinney-stonelake-tower,New,Office,Uptown Dallas,2626 McKinney Ave,Stonelake Capital Partners; Bank OZK (reported),Construction financing secured; groundbreaking expected July 2026.,17 stories.,Spec office conviction signal at the top of the Uptown market.,[30]
2026-07-02,75-west-apartments-foreclosure,New,Distress / Lender Action,North Dallas,75 West Apartments,"Blackstone (borrower, reported); Ares (lender)",Foreclosure action reported June 26; auction date unconfirmed.,490 units; $90M loan.,Multifamily distress sourcing signal; track servicer and disposition path.,[31]
2026-07-02,atletico-dallas-trinity-fc,New,Sports / Entertainment,South Dallas,Cotton Bowl (interim); stadium site search,Atletico Dallas; Dallas Trinity FC,Acquired Trinity FC June 30; unified group searching for a permanent stadium and training site.,Terms undisclosed.,Future stadium search is a land watch item into the fall.,[33]
